State Name,Two Wheeler,Three Wheeler,Four Wheeler,Goods Vehicles,Public Service Vehicle,Special Category Vehicles,Ambulance/Hearses,Construction Equipment Vehicle,Other,Grand Total
Andaman and Nicobar Island,1,30.0,81,,40.0,,,,7.0,159
Arunachal Pradesh,14,,5,,,,,,1.0,20
Assam,721,47041.0,161,7.0,15.0,,,,2.0,47947
Bihar,5003,59079.0,114,11.0,26.0,,,,8.0,64241
Chandigarh,298,1410.0,182,,40.0,,,,1.0,1931
Chhattisgarh,6424,5341.0,117,1077.0,1.0,,,368.0,100.0,13428
Delhi,14730,112831.0,3051,49.0,39.0,,,,1602.0,132302
Goa,1314,28.0,289,13.0,36.0,2.0,,,4.0,1686
Gujarat,13662,1869.0,1309,28.0,278.0,344.0,,26.0,77.0,17593
Haryana,7777,18595.0,186,122.0,8.0,2.0,,,90.0,26780
Himachal Pradesh,368,167.0,37,7.0,86.0,,,,46.0,711
Jammu and Kashmir,1417,43.0,10,6.0,43.0,,,,8.0,1527
Jharkhand,2961,8986.0,139,24.0,4.0,,,,57.0,12171
Karnataka,56737,16478.0,7212,153.0,44.0,1.0,1.0,,1420.0,82046
Kerala,10299,2115.0,2524,43.0,23.0,,1.0,,17.0,15022
Ladakh,12,,5484,,,,,,,5496
Maharashtra,51149,6155.0,2,30.0,851.0,26.0,1.0,,601.0,58815
Manipur,86,443.0,9,1.0,,,,,1.0,540
Meghalaya,16,6.0,3,3.0,,,,,,28
Mizoram,9,1.0,4,2.0,1.0,,,,3.0,20
Nagaland,44,,121,3.0,,1.0,,1.0,1.0,171
Odisha,10329,1808.0,75,21.0,,25.0,,1.0,23.0,12282
Puducherry,1429,32.0,124,9.0,20.0,,,,,1614
Punjab,6408,2878.0,798,35.0,2.0,,,,21.0,10142
Rajasthan,23446,29631.0,12,25.0,1.0,,1.0,1.0,24.0,53141
Sikkim,1,,2414,1.0,,,,,9.0,2425
Tamil Nadu,44302,4470.0,13,1281.0,37.0,,,,193.0,50296
Tripura,67,7510.0,14,1.0,,,,,1.0,7593
Dadra and Nagar Haveli and Daman and Diu,69,36.0,153,2.0,10.0,7.0,,,,277
Uttar Pradesh,18295,257159.0,368,53.0,327.0,2.0,,,13.0,276217
Uttarakhand,2614,22096.0,709,1.0,10.0,,,,21.0,25451
West Bengal,2540,40948.0,615,28.0,97.0,,2.0,,61.0,44291
Grand Total,282542,647186.0,26335,3036.0,2039.0,410.0,6.0,397.0,4412.0,966363
Andhra Pradesh,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
Madhya Pradesh,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
Telangana,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lakshadweep,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
